,Target,Feature_1,Feature_2,Feature_3,Feature_4,JPG_PATH
77,1,0.559570,0.516602,0.830078 ,0.544922,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1334.jpeg
78,0,0.556641,0.586914,0.699219 ,0.478516,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1342.jpeg
79,1,0.489258,0.527344,0.275391 ,0.429688,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1350.jpeg
80,0,0.501953,0.578125,0.835938 ,0.843750,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1351.jpeg
81,0,0.460938,0.514648,0.917969 ,0.740234,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_136.jpeg
82,0,0.504883,0.496094,0.966797 ,0.988281,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1361.jpeg
83,1,0.538086,0.429688,0.740234 ,0.546875,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1385.jpeg
84,1,0.525391,0.506836,0.890625 ,0.880859,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1393.jpeg
85,0,0.592773,0.545898,0.787109 ,0.814453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1395.jpeg
86,0,0.171875,0.198242,0.074219 ,0.048828,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
87,0,0.337891,0.546875,0.066406 ,0.050781,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
88,0,0.158203,0.530273,0.093750 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
89,0,0.548828,0.403320,0.097656 ,0.052734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
90,0,0.465820,0.703125,0.107422 ,0.093750,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
91,0,0.393555,0.842773,0.068359 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
92,0,0.095703,0.925781,0.128906 ,0.101562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
93,0,0.795898,0.390625,0.076172 ,0.058594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
94,0,0.639648,0.549805,0.056641 ,0.044922,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
95,0,0.098633,0.366211,0.072266 ,0.076172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
96,0,0.831055,0.467773,0.095703 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
97,0,0.266602,0.555664,0.064453 ,0.060547,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
98,0,0.188477,0.473633,0.068359 ,0.052734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
99,0,0.178711,0.250000,0.056641 ,0.050781,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
100,0,0.291016,0.229492,0.058594 ,0.056641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
101,0,0.975586,0.243164,0.044922 ,0.068359,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
102,0,0.777344,0.202148,0.062500 ,0.048828,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
103,0,0.840820,0.669922,0.044922 ,0.066406,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
104,0,0.419922,0.791016,0.078125 ,0.066406,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_14.jpeg
105,1,0.530273,0.460938,0.939453 ,0.625000,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1420.jpeg
106,1,0.784180,0.886719,0.431641 ,0.218750,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1420.jpeg
107,0,0.544922,0.474609,0.730469 ,0.898438,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1463.jpeg
108,0,0.421875,0.413086,0.718750 ,0.666016,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1477.jpeg
109,1,0.527344,0.499023,0.941406 ,0.943359,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1494.jpeg
110,0,0.733398,0.676758,0.052734 ,0.044922,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
111,0,0.874023,0.790039,0.064453 ,0.080078,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
112,0,0.366211,0.855469,0.056641 ,0.058594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
113,0,0.255859,0.886719,0.066406 ,0.054688,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
114,0,0.326172,0.750977,0.109375 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
115,0,0.671875,0.392578,0.058594 ,0.062500,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
116,0,0.922852,0.200195,0.076172 ,0.154297,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
117,0,0.257812,0.317383,0.222656 ,0.107422,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
118,0,0.463867,0.208984,0.048828 ,0.128906,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
119,0,0.789062,0.050781,0.042969 ,0.050781,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
120,0,0.809570,0.202148,0.044922 ,0.056641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1499.jpeg
121,1,0.578125,0.428711,0.765625 ,0.501953,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1508.jpeg
122,1,0.496094,0.500977,0.742188 ,0.498047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1509.jpeg
123,1,0.450195,0.534180,0.189453 ,0.306641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_151.jpeg
124,1,0.856445,0.360352,0.255859 ,0.287109,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_151.jpeg
125,1,0.477539,0.539062,0.658203 ,0.445312,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1512.jpeg
126,0,0.571289,0.475586,0.779297 ,0.900391,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1515.jpeg
127,1,0.562500,0.560547,0.640625 ,0.519531,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1518.jpeg
128,1,0.594727,0.181641,0.701172 ,0.238281,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1518.jpeg
129,1,0.759766,0.386719,0.261719 ,0.164062,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1518.jpeg
130,0,0.537109,0.500977,0.835938 ,0.677734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1530.jpeg
131,0,0.494141,0.471680,0.984375 ,0.869141,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1543.jpeg
132,1,0.440430,0.531250,0.810547 ,0.921875,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_156.jpeg
133,0,0.485352,0.518555,0.966797 ,0.962891,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1564.jpeg
134,1,0.525391,0.458984,0.753906 ,0.750000,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1570.jpeg
135,1,0.304688,0.117188,0.160156 ,0.109375,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1572.jpeg
136,1,0.657227,0.439453,0.591797 ,0.484375,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1572.jpeg
137,1,0.163086,0.588867,0.298828 ,0.498047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1572.jpeg
138,1,0.666992,0.724609,0.404297 ,0.449219,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1590.jpeg
139,1,0.918945,0.333008,0.158203 ,0.318359,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1590.jpeg
140,1,0.117188,0.704102,0.207031 ,0.314453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1590.jpeg
141,1,0.351562,0.426758,0.320312 ,0.201172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1590.jpeg
142,1,0.468750,0.483398,0.898438 ,0.916016,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1610.jpeg
143,1,0.343750,0.509766,0.296875 ,0.593750,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1612.jpeg
144,0,0.490234,0.507812,0.656250 ,0.457031,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1619.jpeg
145,1,0.573242,0.480469,0.853516 ,0.722656,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1627.jpeg
146,0,0.437500,0.514648,0.824219 ,0.970703,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1630.jpeg
147,0,0.406250,0.416016,0.769531 ,0.828125,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_164.jpeg
148,1,0.508789,0.371094,0.982422 ,0.636719,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1642.jpeg
149,1,0.147461,0.832031,0.267578 ,0.222656,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1642.jpeg
150,1,0.500977,0.444336,0.748047 ,0.646484,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1677.jpeg
151,1,0.833008,0.858398,0.333984 ,0.283203,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1677.jpeg
152,1,0.324219,0.739258,0.347656 ,0.373047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1692.jpeg
153,1,0.081055,0.375977,0.158203 ,0.376953,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1692.jpeg
154,1,0.885742,0.708008,0.197266 ,0.361328,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1692.jpeg
155,0,0.480469,0.384766,0.777344 ,0.730469,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1693.jpeg
156,1,0.256836,0.322266,0.412109 ,0.523438,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1707.jpeg
157,1,0.444336,0.576172,0.748047 ,0.437500,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_172.jpeg
158,0,0.503906,0.388672,0.914062 ,0.714844,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1722.jpeg
159,1,0.411133,0.562500,0.755859 ,0.828125,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1729.jpeg
160,1,0.542969,0.539062,0.738281 ,0.503906,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1731.jpeg
161,0,0.486328,0.573242,0.910156 ,0.494141,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1750.jpeg
162,0,0.502930,0.483398,0.630859 ,0.630859,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_177.jpeg
163,0,0.498047,0.518555,0.953125 ,0.560547,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1771.jpeg
164,1,0.375977,0.415039,0.748047 ,0.826172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1779.jpeg
165,1,0.887695,0.617188,0.169922 ,0.183594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1779.jpeg
166,1,0.560547,0.443359,0.585938 ,0.527344,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1784.jpeg
167,1,0.165039,0.129883,0.326172 ,0.240234,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1788.jpeg
168,1,0.522461,0.564453,0.912109 ,0.644531,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1788.jpeg
169,0,0.472656,0.481445,0.746094 ,0.794922,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1793.jpeg
170,1,0.658203,0.449219,0.683594 ,0.601562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1806.jpeg
171,1,0.149414,0.269531,0.294922 ,0.273438,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1806.jpeg
172,0,0.583008,0.505859,0.763672 ,0.832031,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1810.jpeg
173,0,0.509766,0.509766,0.980469 ,0.777344,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1814.jpeg
174,1,0.801758,0.877930,0.396484 ,0.236328,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1815.jpeg
175,1,0.525391,0.454102,0.949219 ,0.591797,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1815.jpeg
176,0,0.448242,0.446289,0.771484 ,0.888672,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1830.jpeg
177,0,0.533203,0.382812,0.757812 ,0.750000,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1835.jpeg
178,1,0.535156,0.431641,0.679688 ,0.472656,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1841.jpeg
179,0,0.600586,0.569336,0.677734 ,0.470703,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1849.jpeg
180,1,0.570312,0.418945,0.363281 ,0.337891,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1851.jpeg
181,0,0.402344,0.546875,0.109375 ,0.179688,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
182,0,0.213867,0.836914,0.123047 ,0.181641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
183,0,0.172852,0.091797,0.099609 ,0.097656,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
184,0,0.175781,0.191406,0.093750 ,0.062500,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
185,0,0.487305,0.145508,0.076172 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
186,0,0.659180,0.319336,0.056641 ,0.083984,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
187,0,0.942383,0.586914,0.091797 ,0.267578,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
188,0,0.786133,0.724609,0.064453 ,0.078125,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
189,0,0.887695,0.827148,0.080078 ,0.072266,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
190,0,0.670898,0.720703,0.060547 ,0.058594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
191,0,0.196289,0.563477,0.087891 ,0.095703,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
192,0,0.776367,0.093750,0.072266 ,0.085938,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
193,0,0.916992,0.300781,0.064453 ,0.050781,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
194,1,0.937500,0.077148,0.125000 ,0.138672,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1852.jpeg
195,0,0.530273,0.512695,0.712891 ,0.498047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1858.jpeg
196,0,0.523438,0.524414,0.945312 ,0.802734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1859.jpeg
197,0,0.500977,0.417969,0.998047 ,0.832031,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1862.jpeg
198,1,0.523438,0.522461,0.894531 ,0.927734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1868.jpeg
199,0,0.540039,0.497070,0.849609 ,0.681641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1873.jpeg
200,0,0.492188,0.500977,0.933594 ,0.943359,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1878.jpeg
201,1,0.469727,0.566406,0.763672 ,0.867188,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1882.jpeg
